id,sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
119,3204480,1,11,2,2,17/12/2014 14:51,17/12/2014 14:53,2.5,0.111,2.66,3.7,1,1,1,1,1,36.405322,3.8,1,0,0,0,0,WORK,WORK
120,3204480,1,12,2,3,17/12/2014 14:57,17/12/2014 15:00,2.75,0.1193,2.6,3.1,1,1,1,1,1,14.055611,89.83,1,0,0,0,0,WORK,WORK
121,3204480,1,13,2,4,17/12/2014 16:29,17/12/2014 17:06,36.55,22.8109,37.45,75.8,3,2,"1,3",2,"1,3",32.184732,44.87,1,0,0,0,0,WORK,OTHER
122,3204480,1,14,2,5,17/12/2014 17:51,17/12/2014 17:59,8.18,2.4991,18.32,48.5,3,1,3,1,3,27.580304,56.9,1,0,0,0,0,OTHER,OTHER
123,3204480,1,15,2,6,17/12/2014 18:56,17/12/2014 19:04,8.5,4.1291,29.15,51,3,1,3,1,3,9.587947,19.05,1,0,0,0,0,OTHER,HOME
124,3204480,1,16,2,7,17/12/2014 19:23,17/12/2014 19:31,7.9,1.4835,11.27,38.5,3,1,3,1,3,11.822842,11.53,1,0,0,0,0,HOME,OTHER
125,3204480,1,17,2,8,17/12/2014 19:43,17/12/2014 19:47,4.3,1.1623,16.22,40.4,3,1,3,1,3,26.15969,642.35,1,0,0,0,0,OTHER,HOME
126,3204480,1,18,3,1,18/12/2014 06:30,18/12/2014 06:54,24.07,16.7365,41.73,76.4,3,2,"3,1",2,"1,3",5238.869474,575.85,1,0,0,0,0,OTHER,WORK
127,3204480,1,19,3,2,18/12/2014 16:29,18/12/2014 17:06,36.73,22.7934,37.23,78.3,3,2,"1,3",2,"1,3",18.740867,35.98,1,0,0,0,0,WORK,OTHER
128,3204480,1,20,3,3,18/12/2014 17:42,18/12/2014 17:51,8.5,2.4924,17.59,47.2,3,1,3,1,3,15.220627,24.88,1,0,0,0,0,OTHER,OTHER
129,3204480,1,21,3,4,18/12/2014 18:16,18/12/2014 18:25,9.82,2.7265,16.66,44.1,3,1,3,1,3,5.913302,1.15,1,0,0,0,0,OTHER,OTHER
